type,savings,contract_total,contract_description,grant_description,providing_agency,vendor,full_details
contract,"$1,202,114","$7,053,827","HEALTH BASIC RESEARCH: COLLECTION OF HUMAN TISSUE, CELLS, BIOFLUIDS AND EPIDEMIOLOGIC PROFILES FROM DONORS",NA,"Department of Health and Human Services
",university of maryland,"university of maryland
agency: department of health and human services
$1,202,114
savings
$7,053,827
total contract
health basic research: collection of human tissue, cells, biofluids and epidemiologic profiles from donors"
grant,"$3,489,855","$26,702,445",NA,"Project Summary/Abstract The University of Maryland School of Medicine (UMSOM) Center for Vaccine Development and Global Health (CVD) has been an established VTEU site since 1974. The goal of the VTEUs is to initiate innovative concepts for clinical research and implement clinical site protocols for evaluating vaccines, other preventive biologics, therapeutics, diagnostics, and devices for the treatment and prevention of infectious diseases, and CVD is uniquely poised to accomplish this goal. CVD's expert and accomplished investigative team has complementary skill sets in all areas necessary to address the NIAID priority areas, with established management plans to effectively allocate work and conduct multiple projects simultaneously. CVD is internationally recognized for our capacity and capability to conduct controlled human infection trials for malaria, influenza, and enteric pathogens and to implement treatment and prevention trials in endemic areas for malaria and neglected tropical diseases (NTD), both of which have been a focus of its research for many years. CVD has access to U.S. populations of healthy subjects in all age groups for this research and subjects with special risks, such as patients attending outpatient clinics with sexually transmitted infection (STI) and other conditions that generally do not requiring hospitalization. Strong domestic collaborations at sites experienced in clinical trials provide the CVD's VTEU with surge capacity among healthy subjects of all ages and vulnerable populations such as pregnant women in the U.S. to address public health emergencies. CVD's international collaborators, including two long-standing permanent field sites in Africa, are an invaluable resource for vetted international trial sites in low resource countries endemic for malaria and NTD with experience in conducting high quality NIAID and VTEU studies. This proposal describes mechanisms to implement protocols that arise from concepts proposed by the Leadership Group (LG) and the research community including investigators from other VTEUs, academia, industry, non-governmental organizations, and DMID. These concepts will focus on NIAID priority areas, including malaria, NTD, respiratory infections, particularly influenza, enteric diseases, STI, and emerging infectious diseases and other infectious disease considerations. Under our VTEU contract that is nearing completion (2013-2023), CVD was awarded over 23 Task Orders, enrolled over 1,500 participants, and successfully collaborated with national and international sites. This renewal application is intended to supplement the new VTEU award (1UM1AI148689) that we received in December, 2019 in response to AI18-046; funding for this award was limited to one year as a result of an omission by our Sponsored Programs Administration to include a request for 7 full years of funding. The current proposal seeks to supplement that one year award with an additional 6 years of funding.","DEPARTMENT OF HEALTH AND HUMAN SERVICES
",grant to university of maryland baltimore professional schools,"grant to university of maryland baltimore professional schools
agency: department of health and human services
$3,489,855
savings
$26,702,445
total grant
project summary/abstract the university of maryland school of medicine (umsom) center for vaccine development and global health (cvd) has been an established vteu site since 1974. the goal of the vteus is to initiate innovative concepts for clinical research and implement clinical site protocols for evaluating vaccines, other preventive biologics, therapeutics, diagnostics, and devices for the treatment and prevention of infectious diseases, and cvd is uniquely poised to accomplish this goal. cvd's expert and accomplished investigative team has complementary skill sets in all areas necessary to address the niaid priority areas, with established management plans to effectively allocate work and conduct multiple projects simultaneously. cvd is internationally recognized for our capacity and capability to conduct controlled human infection trials for malaria, influenza, and enteric pathogens and to implement treatment and prevention trials in endemic areas for malaria and neglected tropical diseases (ntd), both of which have been a focus of its research for many years. cvd has access to u.s. populations of healthy subjects in all age groups for this research and subjects with special risks, such as patients attending outpatient clinics with sexually transmitted infection (sti) and other conditions that generally do not requiring hospitalization. strong domestic collaborations at sites experienced in clinical trials provide the cvd's vteu with surge capacity among healthy subjects of all ages and vulnerable populations such as pregnant women in the u.s. to address public health emergencies. cvd's international collaborators, including two long-standing permanent field sites in africa, are an invaluable resource for vetted international trial sites in low resource countries endemic for malaria and ntd with experience in conducting high quality niaid and vteu studies. this proposal describes mechanisms to implement protocols that arise from concepts proposed by the leadership group (lg) and the research community including investigators from other vteus, academia, industry, non-governmental organizations, and dmid. these concepts will focus on niaid priority areas, including malaria, ntd, respiratory infections, particularly influenza, enteric diseases, sti, and emerging infectious diseases and other infectious disease considerations. under our vteu contract that is nearing completion (2013-2023), cvd was awarded over 23 task orders, enrolled over 1,500 participants, and successfully collaborated with national and international sites. this renewal application is intended to supplement the new vteu award (1um1ai148689) that we received in december, 2019 in response to ai18-046; funding for this award was limited to one year as a result of an omission by our sponsored programs administration to include a request for 7 full years of funding. the current proposal seeks to supplement that one year award with an additional 6 years of funding."
grant,"$2,850,409.71","$5,794,026",NA,NSF INCLUDES Alliance: Re-Imagining STEM Equity Utilizing Postdoctoral Pathways,"NATIONAL SCIENCE FOUNDATION
",grant to university of maryland baltimore county,"grant to university of maryland baltimore county
agency: national science foundation
$2,850,409.71
savings
$5,794,026
total grant
nsf includes alliance: re-imagining stem equity utilizing postdoctoral pathways"
grant,"$5,366,741","$5,376,748",NA,EXPANDS MARKETS FOR CLIMATE-SMART GRASS AND CORN IN THE EASTERN SHORE REGION OF MD AND VA AND SUPPORTS FARMER IMPLEMENTATION AND MONITORING OF CLIMATE-SMART PRACTICES.,"DEPARTMENT OF AGRICULTURE
",grant to university of maryland es,"grant to university of maryland es
agency: department of agriculture
$5,366,741
savings
$5,376,748
total grant
expands markets for climate-smart grass and corn in the eastern shore region of md and va and supports farmer implementation and monitoring of climate-smart practices."
grant,"$3,400,000","$4,600,000",NA,Solicitation for the Implementation of the USAID Conflict and Violent Extremism Prevention Activity.,"USAID
",grant to university of maryland global campus,"grant to university of maryland global campus
agency: usaid
$3,400,000
savings
$4,600,000
total grant
solicitation for the implementation of the usaid conflict and violent extremism prevention activity."
grant,"$1,634,442","$4,506,218",NA,Teacher-Training DEI Grant,"DEPARTMENT OF EDUCATION
","grant to university of maryland, college park","grant to university of maryland, college park
agency: department of education
$1,634,442
savings
$4,506,218
total grant
teacher-training dei grant"
grant,"$4,381,567","$4,381,567",NA,University of Maryland FIRST Program,"DEPARTMENT OF HEALTH AND HUMAN SERVICES
",grant to university of maryland baltimore,"grant to university of maryland baltimore
agency: department of health and human services
$4,381,567
savings
$4,381,567
total grant
university of maryland first program"
grant,"$1,557,946.15","$3,563,052",NA,Integrated Networks of Scholars in Global Health Research Training (INSIGHT),"DEPARTMENT OF HEALTH AND HUMAN SERVICES
",grant to university of maryland baltimore,"grant to university of maryland baltimore
agency: department of health and human services
$1,557,946.15
savings
$3,563,052
total grant
integrated networks of scholars in global health research training (insight)"
grant,"$2,998,213","$3,512,917",NA,"Terrorism and Targeted Violence in the United States (T2V): Database, Analysis, and Dissemination","DEPARTMENT OF HOMELAND SECURITY
","grant to university of maryland, college park","grant to university of maryland, college park
agency: department of homeland security
$2,998,213
savings
$3,512,917
total grant
terrorism and targeted violence in the united states (t2v): database, analysis, and dissemination"
grant,"$165,595","$3,365,966",NA,"Project Summary/Abstract The University of Maryland School of Medicine (UMSOM) Center for Vaccine Development and Global Health (CVD) has been an established VTEU site since 1974. The goal of the VTEUs is to initiate innovative concepts for clinical research and implement clinical site protocols for evaluating vaccines, other preventive biologics, therapeutics, diagnostics, and devices for the treatment and prevention of infectious diseases, and CVD is uniquely poised to accomplish this goal. CVD's expert and accomplished investigative team has complementary skill sets in all areas necessary to address the NIAID priority areas, with established management plans to effectively allocate work and conduct multiple projects simultaneously. CVD is internationally recognized for our capacity and capability to conduct controlled human infection trials for malaria, influenza, and enteric pathogens and to implement treatment and prevention trials in endemic areas for malaria and neglected tropical diseases (NTD), both of which have been a focus of its research for many years. CVD has access to U.S. populations of healthy subjects in all age groups for this research and subjects with special risks, such as patients attending outpatient clinics with sexually transmitted infection (STI) and other conditions that generally do not requiring hospitalization. Strong domestic collaborations at sites experienced in clinical trials provide the CVD's VTEU with surge capacity among healthy subjects of all ages and vulnerable populations such as pregnant women in the U.S. to address public health emergencies. CVD's international collaborators, including two long-standing permanent field sites in Africa, are an invaluable resource for vetted international trial sites in low resource countries endemic for malaria and NTD with experience in conducting high quality NIAID and VTEU studies. This proposal describes mechanisms to implement protocols that arise from concepts proposed by the Leadership Group (LG) and the research community including investigators from other VTEUs, academia, industry, non-governmental organizations, and DMID. These concepts will focus on NIAID priority areas, including malaria, NTD, respiratory infections, particularly influenza, enteric diseases, STI, and emerging infectious diseases and other infectious disease considerations. Under our VTEU contract that is nearing completion (2013-2023), CVD was awarded over 23 Task Orders, enrolled over 1,500 participants, and successfully collaborated with national and international sites. This renewal application is intended to supplement the new VTEU award (1UM1AI148689) that we received in December, 2019 in response to AI18-046; funding for this award was limited to one year as a result of an omission by our Sponsored Programs Administration to include a request for 7 full years of funding. The current proposal seeks to supplement that one year award with an additional 6 years of funding.","DEPARTMENT OF HEALTH AND HUMAN SERVICES
",grant to university of maryland baltimore professional schools,"grant to university of maryland baltimore professional schools
agency: department of health and human services
$165,595
savings
$3,365,966
total grant
project summary/abstract the university of maryland school of medicine (umsom) center for vaccine development and global health (cvd) has been an established vteu site since 1974. the goal of the vteus is to initiate innovative concepts for clinical research and implement clinical site protocols for evaluating vaccines, other preventive biologics, therapeutics, diagnostics, and devices for the treatment and prevention of infectious diseases, and cvd is uniquely poised to accomplish this goal. cvd's expert and accomplished investigative team has complementary skill sets in all areas necessary to address the niaid priority areas, with established management plans to effectively allocate work and conduct multiple projects simultaneously. cvd is internationally recognized for our capacity and capability to conduct controlled human infection trials for malaria, influenza, and enteric pathogens and to implement treatment and prevention trials in endemic areas for malaria and neglected tropical diseases (ntd), both of which have been a focus of its research for many years. cvd has access to u.s. populations of healthy subjects in all age groups for this research and subjects with special risks, such as patients attending outpatient clinics with sexually transmitted infection (sti) and other conditions that generally do not requiring hospitalization. strong domestic collaborations at sites experienced in clinical trials provide the cvd's vteu with surge capacity among healthy subjects of all ages and vulnerable populations such as pregnant women in the u.s. to address public health emergencies. cvd's international collaborators, including two long-standing permanent field sites in africa, are an invaluable resource for vetted international trial sites in low resource countries endemic for malaria and ntd with experience in conducting high quality niaid and vteu studies. this proposal describes mechanisms to implement protocols that arise from concepts proposed by the leadership group (lg) and the research community including investigators from other vteus, academia, industry, non-governmental organizations, and dmid. these concepts will focus on niaid priority areas, including malaria, ntd, respiratory infections, particularly influenza, enteric diseases, sti, and emerging infectious diseases and other infectious disease considerations. under our vteu contract that is nearing completion (2013-2023), cvd was awarded over 23 task orders, enrolled over 1,500 participants, and successfully collaborated with national and international sites. this renewal application is intended to supplement the new vteu award (1um1ai148689) that we received in december, 2019 in response to ai18-046; funding for this award was limited to one year as a result of an omission by our sponsored programs administration to include a request for 7 full years of funding. the current proposal seeks to supplement that one year award with an additional 6 years of funding."
